Random_ID;WORRIED;HEALTHY;FEWFOOD;SKIPPED;ATELESS;RUNOUT;HUNGRY;WHLDAY;wt;year;N_adults;N_child;Raw_score;Raw_score_par;Raw_score_par_error;Prob_Mod_Sev;Prob_sev;Age;Education;Area;Gender;Income;
118614796,00;0;0;0;1;0;1;0;1;0,85;2014;02;00;3,00;-0,52;0,53;0,35;0,00;45,00;2;8;1;4;
151866360,00;0;0;0;0;0;0;0;0;0,65;2014;02;00;0,00;-2,13;0,89;0,00;0,00;49,00;2;8;2;5;
121518626,00;0;0;0;0;0;0;0;0;1,27;2014;03;00;0,00;-2,13;0,89;0,00;0,00;53,00;1;8;1;5;
193404100,00;0;0;0;0;0;0;0;0;2,00;2014;04;00;0,00;-2,13;0,89;0,00;0,00;20,00;2;8;2;5;
130455003,00;0;1;1;0;0;0;0;0;1,00;2014;02;01;2,00;-1,01;0,56;0,10;0,00;18,00;2;8;2;5;
145961779,00;0;0;0;0;0;0;0;0;0,73;2014;03;00;0,00;-2,13;0,89;0,00;0,00;60,00;1;6;1;3;
142178735,00;0;0;0;0;0;0;0;0;1,23;2014;03;00;0,00;-2,13;0,89;0,00;0,00;40,00;1;6;2;4;
147688620,00;1;0;1;0;0;0;0;0;0,65;2014;02;00;2,00;-1,01;0,56;0,10;0,00;50,00;1;6;2;5;
192491117,00;0;0;1;0;0;0;0;0;1,23;2014;03;00;1,00;-1,63;0,68;0,03;0,00;39,00;1;6;2;4;
126910300,00;0;0;0;0;0;0;0;0;0,93;2014;04;00;0,00;-2,13;0,89;0,00;0,00;58,00;4;8;2;4;
124416696,00;0;0;0;0;0;0;0;0;0,52;2014;02;00;0,00;-2,13;0,89;0,00;0,00;64,00;1;6;2;3;
153501544,00;0;0;0;0;0;0;0;0;0,55;2014;03;00;0,00;-2,13;0,89;0,00;0,00;57,00;1;6;2;5;
183466519,00;1;1;1;0;0;1;0;0;0,37;2014;01;00;4,00;-0,05;0,52;0,69;0,00;78,00;1;6;1;1;
159474805,00;0;0;0;0;0;0;0;0;1,30;2014;02;00;0,00;-2,13;0,89;0,00;0,00;27,00;2;6;1;4;
142865464,00;0;0;0;0;0;0;0;0;1,00;2014;02;00;0,00;-2,13;0,89;0,00;0,00;22,00;2;6;2;4;
210233337,00;0;0;0;0;0;0;0;0;0,55;2014;03;00;0,00;-2,13;0,89;0,00;0,00;65,00;1;8;2;5;
164144792,00;0;0;0;0;0;0;0;0;0,46;2014;02;00;0,00;-2,13;0,89;0,00;0,00;60,00;2;8;2;4;
130415515,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;57,00;1;8;1;4;
163377938,00;0;0;0;0;0;0;0;0;0,99;2014;02;01;0,00;-2,13;0,89;0,00;0,00;31,00;2;8;2;5;
161948926,00;0;0;0;1;0;0;0;0;0,41;2014;01;06;1,00;-1,63;0,68;0,03;0,00;38,00;1;8;2;2;
114502097,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;71,00;1;8;2;5;
163001601,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;57,00;1;8;1;3;
186326317,00;0;1;0;0;0;0;0;0;0,82;2014;02;00;1,00;-1,63;0,68;0,03;0,00;36,00;2;8;2;4;
